hidden,title,subtitle,color,supplier_color,category,sub_category,meta_category,image_remote_url,description
true,ADD,ADDITUDE No.3 OVERSIZED SWEATSHIRT,Red,Red,Sweaters,Crewnecks,Logo Crewneck Sweater,,
true,ADD,ADDITUDE No.3 OVERSIZED SWEATSHIRT,Black,Black,Sweaters,Crewnecks,Logo Crewneck Sweater,,
true,ADD,WATERCOLOR SWEATSHIRT,Black,Black,Sweaters,Crewnecks,Graphic Crewneck Sweater,,
true,ADD,DOUBLE SLOGAN SWEATSHIRT,Blue,Deep Blue,Sweaters,Crewnecks,Logo Crewneck Sweater,,
true,ADD,DOUBLE SLOGAN SWEATSHIRT,Black,Black,Sweaters,Crewnecks,Logo Crewneck Sweater,,
true,ADD,ESSENTIAL LOGO SWEATSHIRT,White,White,Sweaters,Crewnecks,Logo Crewneck Sweater,,
true,ADD,ESSENTIAL LOGO SWEATSHIRT,Pink,Pink,Sweaters,Crewnecks,Logo Crewneck Sweater,,
true,ADD,ESSENTIAL LOGO SWEATSHIRT,Blue,Powder Blue,Sweaters,Crewnecks,Logo Crewneck Sweater,,
true,ADD,ESSENTIAL LOGO SWEATSHIRT,Black,Black,Sweaters,Crewnecks,Logo Crewneck Sweater,,
true,ADD,ESSENTIAL LOGO HOODIE,Orange,Yellow Orange,Sweaters,Hoodies,Logo Pullover Hoodie,,
true,ADD,ESSENTIAL LOGO HOODIE,Grey,Grey,Sweaters,Hoodies,Logo Pullover Hoodie,,
true,ADD,ESSENTIAL LOGO HOODIE,Black,Black,Sweaters,Hoodies,Logo Pullover Hoodie,,
true,WKNDRS,Vintage Cargo Jacket,Beige,Beige,Jackets & Coats,Jackets,Print Cargo Jacket,http://wkndrs.com/web/product/small/20200214/6d5589f8541e8d4aeffb7b395fda7449.jpg,
true,WKNDRS,Vintage Cargo Jacket,Green,Khaki,Jackets & Coats,Jackets,Print Cargo Jacket,http://wkndrs.com/web/product/small/20200214/6d5589f8541e8d4aeffb7b395fda7449.jpg,
true,WKNDRS,Wavy Logo Knitted Crewneck,White,Ivory,Sweaters,Crewnecks,Solid Crewneck Sweater,,
true,WKNDRS,Wavy Logo Knitted Crewneck,Pink,Pink,Sweaters,Crewnecks,Solid Crewneck Sweater,,
true,WKNDRS,Cutted Track Jacket,Orange,Orange,Jackets & Coats,Jackets,Colorblock Track Jacket,,
true,WKNDRS,Athletic Zipup Jacket,White,White,Jackets & Coats,Jackets,Logo Track Jacket,,
true,WKNDRS,Striped Longsleeve Pique,Blue,Blue & Pink,Tops,Longsleeves,Striped Rugby Shirt,,
true,WKNDRS,Striped Longsleeve Pique,Green,Green & Yellow,Tops,Longsleeves,Striped Rugby Shirt,,
true,WKNDRS,Tie-Dye Longsleeve T-Shirt,Tie-Dye,Blue Tie-Dye,Tops,Longsleeves,Tie-Dye Longsleeve Shirt,,
true,WKNDRS,Tie-Dye Longsleeve T-Shirt,Tie-Dye,Pink Tie-Dye,Tops,Longsleeves,Tie-Dye Longsleeve Shirt,,
true,WKNDRS,Drill Shirt,Black,Black,Tops,Button-Downs,Print Summer Shirt,,
true,WKNDRS,Drill Shirt,Green,Green,Tops,Button-Downs,Print Summer Shirt,,
true,WKNDRS,Tie-Dye T-Shirt,Blue,Blue Tie-Dye,Tops,T-Shirts,Tie-Dye Logo T-Shirt,,
true,WKNDRS,Vegas Shirt,Black,Black - Multi,Tops,Button-Downs,Print Summer Shirt,,
true,Kith,Spring Madison Jacket,Yellow,Citron,Jackets & Coats,Jackets,Print Track Jacket,,"KITH was founded by Ronnie Fieg, a prominent figure in the footwear industry, who has over twenty years of hands-on experience. Born and raised in Queens, Fieg has been involved with footwear since becoming a stock boy at New York-based franchise David Z. at age 12. With steadfast perseverance, he methodically rose through the ranks from floor salesman to assistant manager to eventually becoming head buyer. Conceptualizing KITH as an extension of himself, Fieg seeks to shift the current landscape of fashion, while operating under a personal philosophy of giving the consumer more than what they pay for."
true,Kith,Spring Madison Jacket,Red,Red Multi,Jackets & Coats,Jackets,Colorblock Track Jacket,,"KITH was founded by Ronnie Fieg, a prominent figure in the footwear industry, who has over twenty years of hands-on experience. Born and raised in Queens, Fieg has been involved with footwear since becoming a stock boy at New York-based franchise David Z. at age 12. With steadfast perseverance, he methodically rose through the ranks from floor salesman to assistant manager to eventually becoming head buyer. Conceptualizing KITH as an extension of himself, Fieg seeks to shift the current landscape of fashion, while operating under a personal philosophy of giving the consumer more than what they pay for."
true,Kith,Floral Panel Camp Shirt,White,Ivory Multi,Tops,Button-Downs,Print Summer Shirt,https://cdn.shopify.com/s/files/1/0094/2252/products/KH3658-104_03a804f2-3082-4b10-a0df-637324e9cb84.progressive.jpg?v=1588604574,"KITH was founded by Ronnie Fieg, a prominent figure in the footwear industry, who has over twenty years of hands-on experience. Born and raised in Queens, Fieg has been involved with footwear since becoming a stock boy at New York-based franchise David Z. at age 12. With steadfast perseverance, he methodically rose through the ranks from floor salesman to assistant manager to eventually becoming head buyer. Conceptualizing KITH as an extension of himself, Fieg seeks to shift the current landscape of fashion, while operating under a personal philosophy of giving the consumer more than what they pay for."
true,Patta,Enzyme Wash Shortsleeve Crewneck Sweater,Blue,Baja Blue,Tops,T-Shirts,Logo T-Shirt,https://cdn.shopify.com/s/files/1/0018/7793/4115/products/Patta-Enzyme-Wash-Shortsleeve-Crewneck-Sweater-_Baja-Blue.jpg?v=1587389295,"Patta opened its doors in 2004. Situated right in the city heart of Amsterdam, the store became the centre of attention by bringing new excitement to the Dutch streetwear scene. Founded by Edson Sabajo and Guillaume ‘Gee’ Schmidt as a means to provide themselves, as well as their friends and family with a steady supply of footwear and gear, that which has started as a hobby, has now flourished into a thriving business and recognisable brand."
